Concept_ID	Concepts_and_Synonyms
C3714581_T047	multicystic kidney dysplasia|Dysplasia, Multicystic Kidney|multicystic dysplastic kidney|multicystic dysplastic kidneys|multicystic kidney|multicystic kidneys|multicystic renal dysplasia
P00000043_T888	mode of inheritance|inheritance
P00000044_T888	autosomal dominant inheritance|autosomal dominant|autosomal dominant form|autosomal dominant type
P00000001_T888	autosomal recessive inheritance
C2751158_T033	autosomal recessive
C1846237_T033	autosomal recessive form
C4020899_T033	autosomal recessive predisposition
C3806583_T033	poor bladder function
M00005178_T047	recurrent urinary tract infections|frequent urinary tract infections|RECURRENT URINARY INFECTIONS|Recurrent urinary tract infection|recurrent uti|urinary infection|urinary tract infection|URINARY TRACT INFECTION RECURRENT|urinary tract infections|urinary tract infections, recurrent|URINARY TRACT INFECTIONS RECURRENT
D00000001_T777	current urinary tract infections|urinary tract infections, current
M00003687_T047;M00003687_T033	neurogenic bladder
M00005181_T184;M00005181_T033	urinary urgency
C0878773_T047	overactive bladder|bladder overactive|Bladder, Overactive|hyperactive bladder|hyperactivity bladder|hypertonic bladder|Overactive Urinary Bladder|Urinary Bladder, Overactive
C4020898_T047	overactive bladder syndrome
C3544092_T047	urgency frequency syndrome
M00004752_T019;M00004752_T033	hypoplasia of the uterus|hypoplastic uterus|infantile uterus|rudimentary uterus|small uterus|underdeveloped uterus|Uterine hypoplasia
C0149632_T033	abnormality of the bladder|Bladder abnormalities|BLADDER ABNORMALITY
C0156273_T020	bladder diverticulum|bladder diverticula|BLADDER, DIVERTICULUM|diverticulum bladder|Diverticulum - bladder|of bladder diverticulum
M00000730_T033	urinary retention|Bladder Distention|bladder retention|bladder urine retention|increased post-void residual urine volume|retention of urine|Retention, Urinary|RETENTION URINARY|Unable to pass urine|Unable to void urine|urine retention
C0028734_T047	nocturia|nocturnal frequency|nycturia
C0152032_T047	urinary hesitancy|hesitancy|Hesitancy of micturition|Urinary hesitation
M00002035_T047;M00002035_T046;M00002035_T048;M00002035_T033	urinary incontinence|bladder incontinence|bladder incontinent|Bladder: incontinent|enuresis|Incontinence of urine|Incontinence, Urinary|INCONTINENCE URINARY|incontinent bladder|involuntary urination|Lack of bladder control|Leaking of urine|leaking urine|loss of bladder control|UI - Urinary incontinence|URINARY BLADDER INCONTINENCE|urinary incontinences|urine incontinence|urine incontinent|urine leak|urine leaking|weak bladder|enuresis nocturna|bed wet|bed wetting|bed-wetting|bedwetting|bedwetting enuresis|bedwetting/enuresis|enuresis bedwetting|enuresis nocturnal|Enuresis, Nocturnal|Nighttime Urinary Incontinence|nocturnal enuresis|Sleep Enuresis|Urinary Incontinence, Nighttime|wet bed|wetting bed
C1855311_T033	megacystis
M00002896_T190;M00002896_T020;M00002896_T033	inguinal hernia
M00004350_T047	prostatitis|Inflammation of prostate|inflammation of the prostate|prostate inflammation|Prostate inflammatory diseases|Prostatic inflammatory disease
C0151721_T047	male hypogonadism|eunuchoidism|failure testicular|Hypogonadism (in males)|hypogonadism male|Hypogonadism - male|Hypogonadism, Male|Hypogonadotropic eunuchoidism|testicular failure|Testicular hypogonadism
M00004785_T047;M00004785_T033	azoospermia|Azoospermatism|azospermia|Sperm absent
D00000002_T777	zoospermia|zoospermia
M00001548_T019;M00001548_T033;M00001548_T190	cryptorchidism|cryptorchism|maldescended testis|Testes, Undescended|Testis, Undescended|undescended testes|undescended testicle|undescended testicles|undescended testis|retractile testis|retractile testes|retractile testicle|testicular retraction
D00000003_T777	descended testes|descended testis
C0156312_T047	testicular atrophy|atrophic testicle|atrophied testicles|Atrophy of testis|ATROPHY TESTICULAR|atrophy testis|testicle atrophy|testicular degeneration|testis atrophy|Testis Atrophy of
C0014534_T047	epididymitis
C1720771_T019	hydrocele testis|hydrocele|Hydrocele, Testicular|Hydrocoele|Scrotal Hydrocele|Scrotal Hydroceles|testicular hydrocele|Testicular Hydroceles|testis hydrocele|vaginal hydrocele|Vaginal Hydroceles
C0266423_T019	abnormality of the testis
C4025896_T190	abnormality of the penis
C0238395_T019	male pseudohermaphroditism
M00000385_T019	epispadias
M00004052_T047	Exocrine Pancreas Insufficiency|exocrine pancreatic insufficiency|Insufficiency, Pancreatic|Pancreatic exocrine insufficiency|Pancreatic Insufficiencies|pancreatic insufficiency
M00002733_T033;M00002733_T047	long penis|enlarged penis|large penis
C0221182_T019	chordee
C1848869_T019	absent external genitalia
M00001089_T047;M00001089_T033	hypogonadotrophic hypogonadism|Central Hypogonadism|Gonadotrophin deficiency|gonadotropin deficiency|Gonadotropin insufficiency|hypogonadism, hypogonadotropic|pituitary gonadotropin deficiency|secondary hypogonadism|hypogonadism
M00004320_T047;M00004320_T033	hypogonadotropic hypogonadism|primary ovarian insufficiency|hypergonadotropic hypogonadism|hypergonadotrophic hypogonadism|Hypogonadism, Hypergonadotropic|primary gonadal failure|primary hypogonadism|Primary male hypogonadism|primary testicular failure|POF|premature ovarian failure|Hypergonadotrophic ovarian failure|Ovarian failure, premature|POF - Premature ovarian failure|primary ovarian failure
D00000004_T777	hypogonadotroph hypogonadism
C3489396_T047	isolated hypogonadotropic hypogonadism
C0431659_T033	scrotal hypoplasia|hypoplastic scrotum|underdeveloped scrotum
M00002779_T019;M00002779_T047;M00002779_T033	hypospadias|hypospadia|penile hypospadias|Hypospadias, penile
C0341787_T019	bifid scrotum|cleft of scrotum
M00004682_T033	shawl scrotum
C1852534_T033	hypoplastic male external genitalia|hypoplastic male genitalia
C0452148_T019	perineal hypospadias|Hypospadias, perineal
M00003063_T033	macroorchidism|Large testes|large testicles|large testis
M00003503_T019;M00003503_T033	micropenis|Agenesis of the penis|Penis agenesis|short penis|hypoplasia of penis|small penis|underdeveloped penis|microphallus|penis small|PENIS, SMALL
C4021822_T190	abnormal female external genitalia
C4229886_T033	normal female external genitalia
M00004743_T033	hypoplastic labia majora|hypoplasia of labia majora|Hypoplasia of the labia majora
M00004740_T033	small clitoris
M00000349_T019;M00000349_T033	ambiguous genitalia|ambiguous external genitalia|Ambiguity, Genital|ambiguous external genitalia at birth|Atypical Genitalia|Genital Ambiguities|Genital ambiguity|intersex genitalia
C1837532_T033	fused labia minora
C1849295_T033	hypoplastic labia minora
C0404531_T046	labial hypertrophy|enlarged labia|enlargement of the labia|Hypertrophy of labia|Hypertrophy of the labia
C1850325_T033	hypoplastic labia
C1610065_T019	urethral atresia
C1840382_T033	ureteral anomalies
D00000005_T777	ureter anomalies
C0041960_T020	ureterocele|ureteroceles
M00004901_T020;M00004901_T190	ureteral stenosis|stricture of ureter|strictures ureteral|stricture ureteral|stricture ureter|Stricture - ureter|ureteral stricture|ureteric stenosis|ureter stenosis|ureter stricture|Ureter - stricture|URETER, STRICTURE|narrowing of the ureter|Stenosis of ureter|STENOSIS URETERAL
M00003436_T190;M00003436_T019;M00003436_T033	hydroureter|Dilatation of ureter|hydroureters|megaloureter|megaureter|megaureters|ureteral dilatation|URETER DILATION|Ureteric dilatation
D00000006_T777	ureter dilatation
M00001884_T019;M00001884_T190;M00001884_T033	ureteral duplication|ureter duplication|double ureter|double ureters|duplex collecting system|duplex ureter|duplex ureters|Duplicated ureter|Duplicated ureters|Duplicate ureter|Duplicate ureters|duplication of ureter|ureter duplex|duplicated collecting system|double collecting system|duplicated renal collecting system
C0521619_T046	ureteropelvic junction obstruction|Pelvi-ureteric junction obstruction|pelviureteric junction obstruction|Pelviureteric obstruction|PUJO|UPJO|Ureteropelvic obstruction
M00004511_T019;M00004511_T033	renal duplication|extra kidney|Accessory kidney|supernumerary kidney
M00005259_T047;M00005259_T033	vesicoureteral reflux|ureteral reflux|reflux vesicoureteral|Reflux, Vesicoureteral|reflux vesicoureteric|ureteric reflux|Vesicoureteral Reflux 1|vesico ureteral reflux|vesico-ureteral reflux|vesico-ureteric reflux|vesicoureteric reflux|VUR|VUR - Vesicoureteral Reflux
D00000007_T777	ureter reflux
M00004508_T019;M00004508_T033	abnormality of the kidney|abnormal kidney|abnormal renal morphology|anomalies renal|Congenital abnormality of kidney|Congenital anomaly of kidney|Congenital anomaly of the kidney|Congenital renal anomaly|kidney malformation|kidney malformations|renal anomalies|renal anomaly|renal malformation|Renal structural anomalies|structural kidney abnormalities|structural renal anomalies|abnormal kidney morphology
D00000008_T777	normal kidney
C0022658_T047	kidney disease|Disease, Kidney|Disease of kidney|Diseases, Kidney|diseases kidneys|DISORDER KIDNEY|Disorder of kidney|DISORDER RENAL|KIDNEY DIS|kidney diseases|kidney disorder|kidney disorders|Kidneys--Diseases|nephrologic disease|nephropathies|nephropathy|renal disease|renal diseases|renal disorder|renal disorders
C0744356_T033	genital abnormalities|abnormal genital|abnormalities genital|genital abnormality|genital anomalies|genital defects
D00000009_T777	genital normality
C4021821_T047	abnormality of the urinary system|urinary tract abnormalities|urinary tract abnormality|urinary tract anomalies
M00002829_T047;M00002829_T033	renal insufficiency|renal insufficiency|function impaired renal|impaired renal function|impairment renal|Insufficiency, Kidney|INSUFFICIENCY RENAL|Kidney Impairment|kidney insufficiency|Renal dysfunction|renal impairment|renal insufficiencies|renal failure|ESRD
C1839604_T033	renal failure in adulthood
M00002663_T019;M00002663_T033	horseshoe kidney|horseshoe kidneys|kidney horseshoe|Kidney, Horseshoe|Kidneys, Horseshoe
M00002344_T019;M00002344_T033	fused kidneys
M00001942_T019;M00001942_T033	ectopic kidney|abnormal kidney location|displaced kidney|ectopic kidneys|KIDNEY, ECTOPIC|renal ectopia
M00001478_T033;M00001478_T047;M00001478_T019	renal hypoplasia|renal hypoplasia|hypoplastic kidney|Hypoplasia of kidneys|hypoplasia renal|hypoplastic kidneys|kidney hypoplasia|KIDNEY, HYPOPLASIA|small kidneys|small kidney
M00003013_T047;M00003013_T033	nephronophthisis|juvenile nephronophthisis|Familial juvenile nephronophthisis|Nephronophthisis 1|NPH1|NPHP1|Type 1 nephronophthisis|medullary cystic disease
C1858395_T033	tubular atrophy
M00004353_T033	proteinuria|protein in urine|[D]Proteinuria|proteinurias
C0178664_T047	glomerulosclerosis|glomerular sclerosis
C4476521_T047	renal glomerular fibrosis
M00002296_T047	focal segmental glomerulosclerosis|Focal Segmental Glomerulosclerosis, Not Otherwise Specified|FSGS|focal and segmental glomerular sclerosis|focal and segmental glomerulosclerosis|focal glomerular sclerosis|focal glomerulosclerosis|Focal Sclerosing Glomerulonephritis|FSGS - Focal segmental glomerulosclerosis|Glomerulosclerosis, Focal|Glomerulosclerosis, Focal Segmental|HYALINOSIS, FOCAL|Segmental Glomerulosclerosis, Focal
M00002850_T033	tall stature|accelerated linear growth|increased body height|increased linear growth|Large stature|stature tall
C0017658_T047	glomerulonephritis|glomerular nephritis|glomerulonephritides|GN - Glomerulonephritis|Kidney Scarring|Scarring, Kidney
M00003677_T047	nephrotic syndrome|nephrosis|Nephrotic Syndromes|NS - Nephrotic syndrome|Syndrome, Nephrotic|SYNDROME NEPHROTIC|Syndromes, Nephrotic
D00000010_T777	otic syndrome
C0032617_T184	polyuria|high urine output|increased urine output|Increased urine volume|Polyuric state|Urine output high
M00000097_T033;M00000097_T019;M00000097_T047	renal agenesis|HRA|renal adysplasia|renal aplasia|absent kidney|agenesis renal|Agenesis - renal|Congenital absence of the kidney|missing kidney|bilateral renal agenesis|Potter Syndrome|Renal agenesis syndrome
D00000011_T777	renal genesis
M00002024_T019;M00002024_T033	enlarged kidney|enlarged kidneys|enlargement kidney|kidney enlarged|kidney enlargement|kidneys large|large kidney|large kidneys|nephromegaly|renal enlargement|Renomegaly
M00001583_T047;M00001583_T033	renal cyst|Cyst - kidney|cyst of kidney|Cyst of the Kidney|kidney cyst|Kidney Cysts|renal cysts
M00001409_T019;M00001409_T047	cystic kidney disease|cystic kidney disease|Cystic disease of kidney|Cystic Kidney Diseases|Cystic renal disease|Cystic Renal Diseases|Kidney Disease, Cystic|Renal Disease, Cystic|cystic kidneys|cystic kidneys
M00004327_T047;M00004327_T019;M00004327_T033	renal dysplasia|renal dysplasia|Congenital renal dysplasia|dysplasia kidney|dysplasia kidneys|Dysplasia of kidney|dysplasia renal|dysplastic kidney|dysplastic kidneys|kidney dysplasia|renal tubular dysgenesis|RTD
C1408258_T033	kidney damage
M00003029_T047;M00003029_T190	polycystic kidney dysplasia|congenital polycystic kidney|Disease, Polycystic Kidney|Diseases, Polycystic Kidney|Kidney Disease, Polycystic|Kidney Diseases, Polycystic|KIDNEY POLYCYSTIC|KIDNEY, POLYCYSTIC|polycystic kidney|polycystic kidney disease|polycystic kidney diseases|polycystic kidneys|polycystic renal disease|Polycystic Renal Diseases|Renal Disease, Polycystic|enlarged polycystic kidneys|Kidneys, Polycystic
D00000012_T777	cystic kidney dysplasia|enlarged cystic kidneys
C1839603_T033	proximal tubulopathy|proximal renal tubulopathy|proximal tubular defect|proximal tubule dysfunction
D00000013_T777	proximal tubule function
C1845169_T033	renal phosphate wasting|decreased renal tubular phosphate reabsorption|Decreased renal tubular reabsorption of phosphate
C4021819_T190	phenotypic abnormality|organ abnormality
M00002413_T019	genitourinary abnormality|Abnormalities, Genitourinary|Abnormalities, Urogenital|Congenital urogenital anomaly|Genitourinary Abnormalities|GENITOURINARY ANOMALY|genitourinary tract anomalies|genitourinary tract malformation|urogenital abnormalities|Urogenital Abnormality|urogenital anomalies|UROGENITAL ANOMALY|UROGENITAL MALFORMATION
M00002411_T047	genitourinary disease|Disease of the genitourinary system|diseases genitourinary system|Diseases of the genitourinary system|genitourinary diseases|genitourinary disorder|genitourinary disorders|Genitourinary system diseases|urogenital disease|urogenital diseases|urogenital disorder|urogenital disorders
